target;v1;v2;v3;v4;v5;v6;v7;v8;sample_type
4,63;260,6;199;391,3333333;371,7333333;466,8;273,1333333;742,0666667;4047,733333;lab 1
5;263,2;194,6;393,6666667;348,5333333;401,8;220,0666667;712;4673,466667;lab 1
4,91;247,2666667;205,8;375,4666667;354,8666667;419;222,1333333;677,2;4386,8;lab 1
4,77;257,9444444;191,8333333;368,7222222;334,6666667;417,2222222;195,9444444;678,5555556;4588,777778;lab 1
4,89;258,2;195,7333333;356,6666667;333,3333333;394,6;196;677,1333333;4867,066667;lab 1
4,88;268,7222222;193;364,9444444;345,8888889;405,4444444;210,0555556;650,6666667;4493,944444;lab 1
4,55;255,8666667;182,1333333;359,4666667;326,8;389,4666667;191,8666667;632,2666667;4386,733333;lab 1
4,74;248,9333333;203,9333333;365,2;332,9333333;390,9333333;202,2;664;4646,2;lab 1
4,72;269;191,4666667;381,2;353,2;403,5333333;217,8;714,5333333;4751,466667;lab 1
4,72;268,2666667;178,8;370;342,4666667;384,5333333;204,7333333;690,3333333;4255,2;lab 1
4,69;266,8571429;189,1428571;383,4285714;324,2857143;401,2857143;196,7142857;666,0714286;4643,785714;lab 1
4,79;227,2857143;185,7857143;377,3571429;350,5714286;398,3571429;207,3571429;682,5714286;4756,285714;lab 1
4,85;245;186,2857143;359,8571429;320,5714286;396,7857143;204;633,3571429;4383;lab 1
4,66;280,8666667;197,4;374,6666667;339,2666667;407,8666667;212,3333333;716,2666667;4624;lab 1
4,85;267,8125;184,5;362,5;320,8125;396,125;207,3125;641,6875;4270,75;lab 1
4,46;256,875;189,3125;387,9375;339,3125;409,875;213,4375;696,4375;4599,8125;lab 1
5;266,75;183,0625;368,6875;338,4375;397,6875;191,3125;669,25;4687,25;lab 1
4,65;237,6;188,4;386,4;342,4;413,4666667;202,6666667;680,4;4484,2;lab 1
5,26;266,5333333;203;393,9333333;358;428,4;219,6666667;715,8;4848,133333;lab 1
4,78;279,6;181;370,8666667;327,3333333;400,9333333;192,6666667;679,0666667;4656,533333;lab 1
4,67;279,8666667;193,1333333;387,2666667;362,4;417,3333333;215,3333333;713,8;4606,466667;lab 1
5,09;248,9375;182,1875;359,875;315,625;389,5;199,5625;620,875;4658,9375;lab 1
4,86;273,3333333;181,4;403,7333333;354,5333333;415,7333333;214,6;726,2;4524,2;lab 1
